Movie_name,Cast Info,Genre Info
Meet Me in St. Louis,"The cast of the movie Meet Me in St. Louis includes Harry Davenport as Grandpa,Henry H. Daniels Jr. as Lon Smith Jr.,Judy Garland as Esther Smith,June Lockhart as Lucille Ballard,Leon Ames as Mr. Alonzo Smith,Lucille Bremer as Rose Smith,Margaret O'Brien as 'Tootie' Smith,Marjorie Main as Katie (Maid),Mary Astor as Mrs. Anna Smith,Tom Drake as John Truett,Chill Wills as Mr. Neely,Hugh Marlowe as Col. Darly,Joan Carroll as Agnes Smith,Robert Sully as Warren Sheffield,Sidney Barnes as Hugo Borvis.","The genre of the movie is Drama,Comedy,Romance,Music,Family."
The Apartment,"The cast of the movie The Apartment includes David Lewis as Al Kirkeby,Fred MacMurray as Jeff D. Sheldrake,Hope Holiday as Mrs. Margie MacDougall,Jack Kruschen as Dr. Dreyfuss,Jack Lemmon as C.C. Baxter,Joan Shawlee as Sylvia,Johnny Seven as Karl Matuschka,Naomi Stevens as Mrs. Mildred Dreyfuss,Ray Walston as Joe Dobisch,Shirley MacLaine as Fran Kubelik,David White as Mr. Eichelberger,Dorothy Abbott as Office Worker,Edie Adams as Miss Olsen,Joyce Jameson as The Blonde,Willard Waterman as Mr. Vanderhoff.","The genre of the movie is Drama,Comedy,Romance."
Apocalypse Now,"The cast of the movie Apocalypse Now includes Marlon Brando as Colonel Walter E. Kurtz,Martin Sheen as Captain Benjamin L. Willard,Albert Hall as Chief Phillips,Bo Byers as MP Sergeant #1,Dennis Hopper as Photojournalist,Frederic Forrest as Jay 'Chef' Hicks,G.D. Spradlin as General Corman,Harrison Ford as Colonel Lucas,James Keane as Kilgore's Gunner,Jerry Ziesmer as Jerry, Civilian,Kerry Rossall as Mike From San Diego,Laurence Fishburne as Tyrone 'Clean' Miller,Robert Duvall as Lieutenant Colonel Bill Kilgore,Sam Bottoms as Lance B. Johnson,Scott Glenn as Lieutenant Richard M. Colby.","The genre of the movie is Action,Drama,War."
The Gunfighter,"The cast of the movie The Gunfighter includes Anthony Ross as Deputy Charlie Norris,Ellen Corby as Mrs. Devlin,Gregory Peck as Jimmy Ringo,Helen Westcott as Peggy Walsh,Jean Parker as Molly,Karl Malden as Mac,Millard Mitchell as Marshal Mark Strett,Richard Jaeckel as Eddie,Skip Homeier as Hunt Bromley,Verna Felton as Mrs. August Pennyfeather,Beulah Archuletta as Indian Woman,C.E. Anderson as Street Loafer,Carl Andre as Street Loafer,Murray Alper as Townsman At Funeral,Victor Adamson as Townsman At Funeral.",The genre of the movie is Western.
We Were Here,"The cast of the movie We Were Here includes Bobbi Campbell as Himself,Cleve Jones as Himself,Daniel Goldstein as Himself,Ed Wolf as Himself,Eileen Glutzer as Herself,Guy Clark as Himself,Guy Clark as Himself,Paul Boneberg as Himself.",The genre of the movie is Documentary.
Lady Bird,"The cast of the movie Lady Bird includes Andy Buckley as Matt,Beanie Feldstein as Julie Steffans,Danielle Macdonald as Another Young Lady,Jake McDorman as Mr. Bruno,Jordan Rodrigues as Miguel McPherson,Kathryn Newton as Darlene,Kristen Cloke as Ms. Steffans,Laura Marano as Diana Greenway,Laurie Metcalf as Marion McPherson,Lois Smith as Sister Sarah Joan,Lucas Hedges as Danny O'Neill,Odeya Rush as Jenna Walton,Saoirse Ronan as Lady Bird McPherson,Stephen Henderson as Father Leviatch,Timothée Chalamet as Kyle Scheible,Tracy Letts as Larry McPherson,Andy Buckley as Matt,Bayne Gibby as Casey Kelly,Beanie Feldstein as Julie Steffans,Christina Offley as Cast,Daniel Zovatto as Jonah Ruiz,Danielle Macdonald as Another Young Lady,Jake McDorman as Mr. Bruno,John Karna as Greg Anrue,Jordan Rodrigues as Miguel McPherson,Kathryn Newton as Darlene,Kristen Cloke as Ms. Steffans,Laura Marano as Diana Greenway,Lois Smith as Sister Sarah Joan,Lucas Hedges as Danny,Marielle Scott as Shelly Yuhan,Stephen Henderson as Father Leviatch,Tracy Letts as Larry McPherson.","The genre of the movie is Drama,Comedy."
Chimes at Midnight,"The cast of the movie Chimes at Midnight includes Andrés Mejuto as Principal Cast,Jeanne Moreau as Doll Tearsheet,John Gielgud as Henry IV,Julio Peña as Vassall,Margaret Rutherford as Mistress Quickly,Marina Vlady as Kate Percy,Michael Aldridge as Pistol,Orson Welles as Falstaff,Tony Beckley as Ned Poins,Walter Chiari as Mr. Silence,Alan Webb as Shallow,Fernando Rey as Worcester,Jeremy Rowe as Prince John,Keith Baxter as Prince Hal,Keith Pyott as Lord Chief Justice.","The genre of the movie is Drama,History,Comedy,War."
The Lord of the Rings: The Return of the King,"The cast of the movie The Lord of the Rings: The Return of the King includes Andy Serkis as Gollum,Orlando Bloom as Legolas,Alexandra Astin as Elanor Gamgee,Alistair Browning as Damrod,Bernard Hill as Theoden,Billy Boyd as Pippin,Cate Blanchett as Galadriel,David Aston as Gondorian Soldier 3,Ian McKellen as Gandalf,Jason Fitch as Uruk 2,John Bach as Madril,Marton Csokas as Celeborn,Noel Appleby as Everard Proudfoot,Orlando Bloom as Legolas,Richard Edge as Gondorian Soldier 1,Sadwyn Brophy as Eldarion,Sean Astin as Sam,Sean Bean as Boromir.","The genre of the movie is Action,Adventure,Fantasy."
Carlos,"The cast of the movie Carlos includes Ahmad Kaabour as Wadie Haddad,Alejandro Arroyo as Dr. Valentín Hernández,Alexander Scheer as Johannes Weinrich,Aljoscha Stadelmann as Wilfred Böse 'Boni',Antoine Balabane as Général Al-Khouly,Christoph Bach as Hans-Joachim Klein 'Angie',Édgar Ramírez as Ilich Ramírez Sánchez, Aka 'Carlos',Fadi Abi Samra as Michel Moukharbel,Fadi Yanni Turk as Colonel Haïtham Saïd,Juana Acosta as Amie De Carlos,Julia Hummer as Gabriele Kröcher-Tiedemann 'Nada',Karam Ghossein as Feday Chez Wadie Haddad,Lamia Ahmed as Épouse Religieux Syrien,Liane Sellerer as Épouse Steff,Nora von Waldstätten as Magdalena Kopp,Philippe Tran as Feday Orly,Rami Farah as 'Joseph',Rodney El Haddad as Anis Naccache 'Khalid',Talal El-Jordi as Kamal Al-Issawi 'Ali',Zeid Hamdan as 'Youssef'.","The genre of the movie is Biography,Drama,History,Thriller,Crime."
Marriage Story,"The cast of the movie Marriage Story includes Adam Driver as Charlie,Alan Alda as Bert Spitz,Albert Jones as Donna's Husband,Ayden Mayeri as Makeup Artist,Azhy Robertson as Henry Barber,Brooke Bloom as Mary Ann,David Turner as Theater Actor,Eric Berryman as Theater Actor,Gideon Glick as Theater Actor,Julia Greer as Street Solicitor #1,Julie Hagerty as Sandra,Kyle Bornheimer as Ted,Laura Dern as Nora Fanshaw,Mark O'Brien as Carter,Mary Hollis Inboden as Evaluator,Matthew Maher as Theater Actor,Merritt Wever as Cassie,Mickey Sumner as Beth,Ray Liotta as Jay,Robert Smigel as Mediator,Scarlett Johansson as Nicole,Wallace Shawn as Frank,Albert Jones as Donna's Husband,Annie Hamilton as Becca,Ayden Mayeri as Makeup Artist,Azhy Robertson as Henry,Brooke Bloom as Mary Ann,Jasmine Cephas Jones as Theater Actor,Julie Hagerty as Sandra,Kyle Bornheimer as Ted,Mark O'Brien as Carter,Martha Kelly as The Evaluator,Mary Hollis Inboden as Evaluator,Mary Wiseman as Theater Actor,Matthew Maher as Theater Actor,Mickey Sumner as Beth,Motell Gyn Foster as Theatre Actor,Pete Simpson as Theater Actor,Raymond J. Lee as Theater Actor,Robert Smigel as Mediator.","The genre of the movie is Drama,Comedy,Romance."
The French Connection,"The cast of the movie The French Connection includes Ann Rebbot as Marie Charnier,Arlene Farber as Angie Boca,Bill Hickman as Mulderig,Fernando Rey as Alain Charnier,Frédéric de Pasquale as Devereaux,Gene Hackman as Jimmy Doyle,Harold Gary as Weinstock,Marcel Bozzuffi as Pierre Nicoli,Roy Scheider as Det. Buddy Russo,Tony Lo Bianco as Sal Boca,André Ernotte as La Valle,Ann Rebbot as Marie Charnier,Arlene Farber as Angie Boca,Benny Marino as Lou Boca,Bill Hickman as Mulderig,Eddie Egan as Simonson,Fernando Rey as Alain Charnier,Frédéric de Pasquale as Devereaux,Harold Gary as Weinstock,Marcel Bozzuffi as Pierre Nicoli,Patrick McDermott as Chemist,Sonny Grosso as Klein,Tony Lo Bianco as Sal Boca.","The genre of the movie is Action,Drama,Thriller,Crime."
La La Land,"The cast of the movie La La Land includes Emma Stone as Mia,J.K. Simmons as Bill,Rosemarie DeWitt as Laura,Ryan Gosling as Sebastian,Amanda Fields as Red Head Actress,Amiée Conn as Famous Actress,Ana Flavia Gavlak as Young Actress,Andres Perez-Molina as Coffee Shop Customer,Ashley Caple as The Beautiful Butterfly,Callie Hernandez as Tracy,Cameron Brinkman as Jazz Club Patron,Candice Coke as Girl 2,Christopher Aber as Cowboy,Cinda Adams as Casting Director (First Audition),Claudine Claudio as Karen (Waitress),D.A. Wallach as '80's Singer,Emma Stone as Mia,Finn Wittrock as Greg,Hemky Madera as Jimmy,J.K. Simmons as Boss,Jason Fuchs as Carlo,Jessica Rothe as Alexis,John Legend as Keith,Jordan Ray Fox as Nathan,Josh Pence as Josh,Kaye L. Morris as Producer's Girlfriend,Kc Monnie as Dancer,Kiff VandenHeuvel as New Coffee Shop Manager,Kristin Slaysman as Coffee Shop Customer,Margaret Newborn as Jazz Club Goer,Meagen Fay as Mia's Mom,Miles Anderson as Photographer,Morgan Larson as Party Dancer,Nilla Watkins as Customer #1,Phillip E. Walker as Jazz Club Patron,Rosemarie DeWitt as Laura,Ryan Gosling as Sebastian,Sandra Rosko as Dream Audience,Shannon Klein as Pretty Actress,Shannon Leann as Party Guest,Sonoya Mizuno as Caitlin,Terry Walters as Linda (Coffee Shop Manager),Thom Shelton as Coffee Spiller,Tom Everett Scott as Cast,Trevor Lissauer as Valet,Zoë Hall as Chelsea.","The genre of the movie is Drama,Comedy,Romance,Musical."
Faces Places,"The cast of the movie Faces Places includes Agnès Varda as Herself,Amaury Bossy as Himself,Claude Ferchal as Himself,Claude Flaert as Himself,J.R. as Himself,Jean-Luc Godard as Himself,Jean-Paul Beaujon as Himself,Jeannine Carpentier as Herself,JR as Himself,Laurent Levesque as Lettre 'O',Marie Douvet as Herself,Vincent Gils as Himself,Yves Boulen as Himself,Clemens Van Dungern as Himself,Laurent Levesque as Lettre 'O',Morgane Riou as Herself,Nathalie Maurouard as Herself,Nathalie Schleehauf as Herself,Patricia Mercier as Herself,Pony-Soleil-Air-Sauvage-Nature as Himself.",The genre of the movie is Documentary.
"Crouching Tiger, Hidden Dragon","The cast of the movie Crouching Tiger, Hidden Dragon includes Michelle Yeoh as Yu Shu Lien,Yun-Fat Chow as Master Li Mu Bai,Ziyi Zhang as Jen Yu (Mandarin Version)/Jiao Long (English Dubbed Version),Chen Chang as Lo 'Dark Cloud'/Luo Xiao Hu,De Ming Wang as Police Inspector Tsai/Prefect Cai Qiu,Fa Zeng Li as Governor Yu,Jin Ting Zhang as De Lu,Kai Li as Gou Jun Pei,Li Li as May,Pei-pei Cheng as Jade Fox,Rei Yang as Maid,Sihung Lung as Sir Te,Su Ying Huang as Auntie Wu,Xian Gao as Bo,Yan Hai as Madame Yu.","The genre of the movie is Action,Adventure,Drama,Fantasy,Romance."
Nomadland,"The cast of the movie Nomadland includes Angela Reyes as Angela,Bob Wells as Principal Cast,Carl R. Hughes as Carl,David Strathairn as Principal Cast,Douglas G. Soul as Doug,Frances McDormand as Fern,Gay DeForest as Gay,Karie Lynn McDermott Wilder as Karie,Linda May as Linda,Patricia Grier as Patty,Ryan Aquino as Ryan,Swankie as Principal Cast,Teresa Buchanan as Teresa,Annette Webb as Annette,Annette Wells as Annette,Bob Wells as Bob,Brandy Wilber as Brandy,Karie Lynn McDermott Wilder as Karie,Makenzie Etcheverry as Makenzie,Rachel Bannon as Rachel.",The genre of the movie is Drama.
Call Me by Your Name,"The cast of the movie Call Me by Your Name includes Amira Casar as Annella,Antonio Rimoldi as Anchiese,Armie Hammer as Oliver,Elena Bucci as Art Historian 1,Esther Garrel as Marzia,Marco Sgrosso as Art Historian 2,Michael Stuhlbarg as Mr. Perlman,Timothée Chalamet as Elio,Vanda Capriolo as Mafalda,Victoire Du Bois as Chiara,Amira Casar as Annella Perlman,Andre Aciman as Mounir,Antonio Rimoldi as Anchiese,Armie Hammer as Oliver,Elena Bucci as Art Historian 1,Esther Garrel as Marzia,Marco Sgrosso as Art Historian 2,Michael Stuhlbarg as Mr. Perlman,Peter Spears as Isaac,Timothée Chalamet as Elio Perlman,Vanda Capriolo as Mafalda,Victoire Du Bois as Chiara,Xhuliano Ujka as Alessandro.","The genre of the movie is Drama,Romance."
The Magnificent Ambersons,"The cast of the movie The Magnificent Ambersons includes Agnes Moorehead as Fanny Minafer,Anne Baxter as Lucy Morgan,Dolores Costello as Isabel Amberson Minafer,Edwin August as Citizen,Erskine Sanford as Roger Bronson,Joseph Cotten as Eugene Morgan,Orson Welles as Narrator,Ray Collins as Jack Amberson,Richard Bennett as Major Amberson,Tim Holt as George Minafer,Georgia Backus as Matron,Harry A. Bailey as Citizen,Jack Baxley as Reverend Smith,Olive Ball as Mary - Maid,William Blees as Young Man At Accident.","The genre of the movie is Drama,Romance."
Reversal of Fortune,"The cast of the movie Reversal of Fortune includes Glenn Close as Sunny Von Bülow/Narrator,Jeremy Irons as Claus Von Bülow,Alan Pottinger as Chuck, Dershowitz's Student Staff,Annabella Sciorra as Sarah,Christine Baranski as Andrea Reynolds, Claus' Girlfriend,Christine Dunford as Ellen,Felicity Huffman as Minnie, Dershowitz's Student Staff,Fisher Stevens as David Marriott,Jack Gilpin as Peter MacIntosh, Dershowitz's Student Staff,Johann Carlo as Nancy,Keith Reddin as Dobbs, Dershowitz's Student Staff,Mano Singh as Raj, Dershowitz's Student Staff,Ron Silver as Professor Alan Dershowitz,Stephen Mailer as Elon Dershowitz,Uta Hagen as Maria, Sunny's Personal Maid.","The genre of the movie is Drama,Mystery."
David Byrne’s American Utopia,The cast of the movie David Byrne’s American Utopia includes David Byrne as Principal Cast.,"The genre of the movie is Music,Musical,Documentary."
Shoplifters,"The cast of the movie Shoplifters includes Akira Emoto as Principal Cast,Chizuru Ikewaki as Kie Miyabe,Daisuke Kuroda as Principal Cast,Jyo Kairi as Shota Shibata,Kazuaki Shimizu as Principal Cast,Kengo Kôra as Takumi Maezono,Kirin Kiki as Hatsue Shibata,Lily Franky as Osamu Shibata,Mayu Matsuoka as Aki Shibata,Miyu Sasaki as Yuri Hojo,Moemi Katayama as Principal Cast,Sakura Andô as Nobuyo Shibata,Sôsuke Ikematsu as 4 Ban-San,Yôko Moriguchi as Principal Cast,Yûki Yamada as Principal Cast,Aju Makita as Cast,Akira Emoto as Cast,Chizuru Ikewaki as Kie Miyabe,Hajime Inoue as Cast,Izumi Matsuoka as Cast,Jyo Kairi as Shota Shibata,Katsuya Maiguma as Cast,Kazuaki Shimizu as Cast,Kengo Kôra as Takumi Maezono,Miyu Sasaki as Yuri,Naoto Ogata as Cast,Yôko Moriguchi as Cast,Yûki Yamada as Cast.","The genre of the movie is Drama,Crime."
Shoah: Four Sisters,"The cast of the movie Shoah: Four Sisters includes Ada Lichtman as Herself,Claude Lanzmann as Himself - Interviewer,Hanna Marton as Herself,Paula Biren as Herself,Ruth Elias as Herself.","The genre of the movie is History,Documentary."
The 39 Steps,"The cast of the movie The 39 Steps includes Frank Cellier as The Sheriff,Godfrey Tearle as Professor Jordan,Gus McNaughton as Commercial Traveller,Helen Haye as Mrs. Jordan,John Laurie as Crofter,Lucie Mannheim as Miss Smith,Madeleine Carroll as Pamela,Peggy Ashcroft as Crofter's Wife,Robert Donat as Hannay,Wylie Watson as Memory,Charles Bennett as Second Passerby Near The Bus,Ivor Barnard as Political Meeting Chairman,Jerry Verno as Commercial Traveller,Noel Birkin as Minor Role,Peggy Simpson as Maid.","The genre of the movie is Mystery,Thriller,Film-Noir."
Duck Soup,"The cast of the movie Duck Soup includes Chico Marx as Chicolini,Edmund Breese as Zander,Groucho Marx as Rufus T. Firefly,Harpo Marx as Pinky,Leonid Kinskey as Sylvanian Agitator,Louis Calhern as Ambassador Trentino,Margaret Dumont as Mrs. Gloria Teasdale,Raquel Torres as Vera Marcal,The Marx Brothers as Principal Cast,Zeppo Marx as Bob Roland,Charles Middleton as Prosecutor,Edgar Kennedy as Lemonade Vendor,Edward Arnold as Politician,Sidney Bracey as Mrs. Teasdale's Butler,Wade Boteler as Officer At Battle Headquarters.","The genre of the movie is Comedy,War,Musical."
Days of Heaven,"The cast of the movie Days of Heaven includes Brooke Adams as Abby,Richard Gere as Bill,Bob Wilson as Accountant,Doug Kershaw as Fiddler,Frenchie Lemond as Vaudeville Wrestler,Gene Bell as Dancer,Jackie Shultis as Linda's Friend,Linda Manz as Linda,Muriel Jolliffe as Headmistress,Richard Libertini as Vaudeville Leader,Robert J. Wilke as The Farm Foreman,Sahbra Markus as Vaudeville Dancer,Sam Shepard as The Farmer,Stuart Margolin as Mill Foreman,Timothy Scott as Harvest Hand.","The genre of the movie is Drama,Romance."
Toni Erdmann,"The cast of the movie Toni Erdmann includes Peter Simonischek as Winfried Conradi Alias Toni Erdmann,Sandra Hüller as Ines Conradi,Alexandru Papadopol as Dascalu,Anna Maria Bergold as Tabea,Hadewych Minis as Tatjana,Ingrid Bisu as Anca,Ingrid Burkhard as Annegret,Ioan Brancu as Cast,Jürg Löw as Gerhard,Lucy Russell as Steph,Manuela Ciucur as Frau Rodica,Michael Wittenborn as Henneberg,Nicolas Wackerbarth as Coach Leopold,Niels Bormann as Kurierfahrer,Peter Simonischek as Winfried Conradi/Toni Erdmann,Radu Banzaru as Bogdan,Ruth Reinecke as Renate,Sandra Hüller as Ines Conradi,Thomas Loibl as Gerald,Trystan Pütter as Tim,Victoria Cocias as Flavia,Victoria Malektorovych as Natalja,Vlad Ivanov as Illiescu.","The genre of the movie is Drama,Comedy."
Yi Yi,"The cast of the movie Yi Yi includes Nien-Jen Wu as N.J.,Adriene Lin as Lili,An-an Hsu as Cast,Chuan-cheng Tao as Dada,Elaine Jin as Min-Min,Hsi-Sheng Chen as Ah-Di,Hsin-Yi Tseng as Yunyun,Issei Ogata as Ota,Jonathan Chang as Yang-Yang,Kelly Lee as Ting-Ting,Pang Chang Yu as Pangzi,Ru-Yun Tang as NJ's Mother,Shu-shen Hsiao as Xiao-Yan,Shu-Yuan Hsu as Mrs. Jiang,Su-Yun Ko as Sherry Chang-Breitner,Yiwen Chen as Cast,Yung-Feng Lee as Migo.","The genre of the movie is Drama,Romance,Music."
McCabe & Mrs. Miller,The cast of the movie McCabe & Mrs. Miller includes.,The genre of the movie is .
The Best Years of Our Lives,"The cast of the movie The Best Years of Our Lives includes Cathy O'Donnell as Wilma Cameron,Dana Andrews as Fred Derry,Fredric March as Al Stephenson,Gladys George as Hortense Derry,Harold Russell as Homer Parrish,Hoagy Carmichael as Butch Engle,Myrna Loy as Milly Stephenson,Roman Bohnen as Pat Derry,Teresa Wright as Peggy Stephenson,Virginia Mayo as Marie Derry,Dorothy Adams as Mrs. Cameron,Minna Gombell as Mrs. Parrish,Ray Collins as Mr. Milton,Steve Cochran as Cliff,Walter Baldwin as Mr. Parrish.","The genre of the movie is Drama,Romance,War."
Stagecoach,"The cast of the movie Stagecoach includes Andy Devine as Buck,Berton Churchill as Ellsworth Henry Gatewood,Claire Trevor as Dallas,Donald Meek as Samuel Peacock,George Bancroft as Marshal Curley Wilcox,John Carradine as Hatfield,John Wayne as Ringo Kid,Louise Platt as Mrs. Lucy Mallory,Thomas Mitchell as Doc Josiah Boone,Tim Holt as Lt. Blanchard,Chief John Big Tree as Indian Scout,Dorothy Appleby as Girl In Saloon,Frank Baker as Cast,Ted Billings as Bit Part,Tom Tyler as Luke Plummer.","The genre of the movie is Adventure,Drama,Western."
Inside Llewyn Davis,"The cast of the movie Inside Llewyn Davis includes Carey Mulligan as Jean Berkey,Garrett Hedlund as Johnny Five,John Goodman as Roland Turner,Justin Timberlake as Jim Berkey,Oscar Isaac as Llewyn Davis,Adam Driver as Al Cody,Alex Karpovsky as Marty Green,Antonio E. Moreno as Chicago Diner Patron,Bradley Mott as Joe Flom,Carey Mulligan as Jean Berkey,Ethan Phillips as Mitch Gorfein,F. Murray Abraham as Bud Grossman,Frank Ridley as Cast,Garrett Hedlund as Johnny Five,Genevieve Adams as Downtown Girl,Helen Hong as Janet Fung,Jake Ryan as Danny,James Colby as Roadside Cop,Jeanine Serralles as Joy,Jerry Grayson as Mel Novikoff,Joel Brody as Retired Merchant Marine,John Goodman as Roland Turner,Justin Timberlake as Jim Berkey,Max Casella as Poppy Corsicatto,Mike Houston as Station Cop,Oscar Isaac as Llewyn Davis,Ricardo Cordero as Nunzio,Robin Bartlett as Lillian Gorfein,Stark Sands as Troy Nelson.","The genre of the movie is Drama,Music."
Sherpa,The cast of the movie Sherpa includes.,The genre of the movie is Documentary.
There Will Be Blood,"The cast of the movie There Will Be Blood includes Daniel Day-Lewis as Daniel Plainview,Barry Del Sherman as H.B. Ailman,Coco Leigh as Mrs. Bankside,Dillon Freasier as Young H.W. Plainview,Erica Sullivan as Signal Hill Woman,Harrison Taylor as Baby H.W. Plainview,Jacob Stringer as Silver Assay Worker,Jim Meskimen as Signal Hill Married Man,Joseph Mussey as Silver Assay Worker,Kevin Breznahan as Signal Hill Man,Martin Stringer as Silver Assay Worker,Matthew Braden Stringer as Silver Assay Worker,Paul F. Tompkins as Prescott,Randall Carver as Mr. Bankside,Stockton Taylor as Baby H.W. Plainview.","The genre of the movie is Drama,Thriller."
Badlands,"The cast of the movie Badlands includes Martin Sheen as Kit,Sissy Spacek as Holly,Alan Vint as Deputy,Ben Bravo as Gas Attendant,Bryan Montgomery as Boy,Charles Fitzpatrick as Clerk,Dona Baldwin as Maid,Emilio Estevez as Boy Under Lamppost,Gail Threlkeld as Girl,Gary Littlejohn as Sheriff,Howard Ragsdale as Boss,John Carter as Rich Man,John Womack Jr. as Trooper,Ramon Bieri as Cato,Warren Oates as Father.","The genre of the movie is Drama,Crime."
The Last Picture Show,"The cast of the movie The Last Picture Show includes Ben Johnson as Sam The Lion,Cloris Leachman as Ruth Popper,Clu Gulager as Abilene,Cybill Shepherd as Jacy Farrow,Eileen Brennan as Genevieve,Ellen Burstyn as Lois Farrow,Jeff Bridges as Duane Jackson,Sam Bottoms as Billy,Sharon Ullrick as Charlene Duggs,Timothy Bottoms as Sonny Crawford,Barc Doyle as Joe Bob Blanton,Bill Thurman as Coach Popper,Jessie Lee Fulton as Miss Mosey,Joe Heathcock as The Sheriff,Randy Quaid as Lester Marlow.",The genre of the movie is Drama.
Do the Right Thing,"The cast of the movie Do the Right Thing includes Danny Aiello as Salvatore 'Sal' Fragione,Ossie Davis as Da Mayor,Ruby Dee as Mother Sister,Bill Nunn as Radio Raheem,Frankie Faison as Coconut Sid,Giancarlo Esposito as Buggin Out,John Savage as Clifton,John Turturro as Pino,Joie Lee as Jade,Miguel Sandoval as Officer Ponte,Paul Benjamin as ML,Richard Edson as Vito,Rick Aiello as Officer Long,Robin Harris as Sweet Dick Willie,Spike Lee as Mookie.","The genre of the movie is Drama,Comedy."
Sita Sings the Blues,"The cast of the movie Sita Sings the Blues includes Aladdin Ullah as Mareecha/Hanuman,Annette Hanshaw as Sita (Singing),Aseem Chhabra as Narrator - Shadow Puppet 1,Bhavana Nagulapally as Narrator - Shadow Puppet 2,Debargo Sanyal as Rama,Deepti Gupta as Kaikeyi,Manish Acharya as Narrator - Shadow Puppet 3,Nina Paley as Nina,Nitya Vidyasagar as Luv/Kush,Pooja Kumar as Surphanaka,Reena Shah as Sita,Sanjiv Jhaveri as Dave/Dasharatha/Ravana/Dhobi/Valmiki.","The genre of the movie is Fantasy,Comedy,Romance,Animation,Musical."
The Decline of Western Civilization,"The cast of the movie The Decline of Western Civilization includes Alice Bag as Lead Singer, The Alice Bag Band,Alice Bag Band as Themselves,Black Flag as Themselves,Circle Jerks as Themselves,Claude Bessy as Catholic Discipline/Vocalist,Darby Crash as Lead Singer, The Germs,Dinah Cancer as Herself,Don Bolles as Drummer, The Germs,Exene Cervenka as 'X' - Vocals,Philo Cramer as Fear Guitar,Bill Gazzarri as Himself,Fear as Themselves,Frank Gargani as Appears As Himself,John Doe as 'X' - Vocals, Bassist,Lorna Doom as Bassist, The Germs.","The genre of the movie is History,Music,Documentary."
Yojimbo,"The cast of the movie Yojimbo includes Daisuke Katô as Inokichi - Ushitora's Rotund Brother,Eijirô Tôno as Gonji - Tavern Keeper,Hiroshi Tachikawa as Yoichiro,Isuzu Yamada as Orin,Seizaburô Kawazu as Seibê - Brothel Operator,Takashi Shimura as Tokuemon - Sake Brewer,Tatsuya Nakadai as Unosuke - Gunfighter,Toshirô Mifune as Sanjuro Kuwabatake/The Samurai,Yôko Tsukasa as Nui,Yôsuke Natsuki as Kohei's Son,Atsushi Watanabe as The Cooper - Coffin-Maker,Ikio Sawamura as Hansuke,Kamatari Fujiwara as Tazaemon,Kyû Sazanka as Ushitora,Susumu Fujita as Homma - Instructor Who Skips Town.","The genre of the movie is Action,Drama,Thriller."
Rio Bravo,"The cast of the movie Rio Bravo includes Angie Dickinson as Feathers,Claude Akins as Joe Burdette,Dean Martin as Dude ('Borrachón'),Estelita Rodriguez as Consuela Robante,John Russell as Nathan Burdette,John Wayne as Sheriff John T. Chance,Pedro Gonzalez Gonzalez as Carlos Robante,Ricky Nelson as Colorado Ryan,Walter Brennan as Stumpy,Ward Bond as Pat Wheeler,Frank Balderrama as Barfly,Fred Aldrich as Barfly,Harry Carey Jr. as Harold,Malcolm Atterbury as Jake (Stage Driver),Sheb Wooley as Cowboy.","The genre of the movie is Action,Drama,Western."
Brother's Keeper,"The cast of the movie Brother's Keeper includes Dave Goff as Himself - Cousin,Delbert Ward as Himself,Harry Thurston as Himself - Friend,John Teeple as Himself - Neighbor,Joseph F. Loszynski as Himself - Bureau Of Criminal Investigation, New York State Police,Ken Elmer as Himself - Neighbor,Lyman Ward as Himself,Ralph A. Cognetti as Himself - Defense Attorney,Roscoe Ward as Himself,Walt Geisler as Himself - Ward Supporter,Connie Chung as Herself,Donald F. Cerio as Himself - Madison County District Attorney,John W. Graham as Himself - Bureau Of Criminal Investigation, New York State Police,Maynard A. Cosnett as Himself - Bureau Of Criminal Investigation, New York State Police,Robert J. Killough as Himself - Bureau Of Criminal Investigation, New York State Police.","The genre of the movie is Mystery,Crime,Documentary."
Sankofa,"The cast of the movie Sankofa includes Afemo Omilami as Noble Ali,Alexandra Duah as Nunu,Hasinatu Camara as Jumma,Jimmy Lee Savage as Mussa,Kofi Ghanaba as Sankofa,Mutabaruka as Shango,Mzuri as Lucy,Nick Medley as Joe,Oyafunmike Ogunlano as Mona,Reggie Carter as Father Raphael,Jim Faircloth as James,John A. Mason as Big Boy,Louise Reid as Esther,Roger Doctor as Nathan,Stanley Michelson as Mr. Lafayette.",The genre of the movie is Drama.
Crumb,"The cast of the movie Crumb includes Robert Crumb as Himself,Aline Kominsky as Herself,Beatrice Crumb as Herself,Bill Griffith as Himself,Charles Crumb as Himself,Dana Morgan as Herself,Deirdre English as Herself,Don Donahue as Himself,Kathy Goodell as Herself,Martin Müller as Himself,Maxon Crumb as Himself,Peggy Orenstein as Herself,Robert Hughes as Himself,Spain Rodriguez as Himself,Trina Robbins as Herself.","The genre of the movie is Biography,Documentary."
